"id","Keyword","Name","Full_Address","Street_Address","City","Zip","Municipality","State","Country","Timezone","Sub_Title","Phone_1","Phone_Standard_format","Phone_From_WEBSITE","Email_From_WEBSITE","Website","Domain","First_category","Second_category","Claimed_google_my_business","Reviews_count","Average_rating","Business_Status","Hours","Saturday","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Latitude","Longitude","Coordinates","Plus_Code","Place_ID","Menu_Link","GMB_URL","CID","Google_Knowledge_URL","Kgmid","Image_URL","Favicon","Review_URL","Facebook_URL","Linkedin_URL","Twitter_URL","Instagram_URL","Youtube_URL","Meta_Description","Meta_Keywords","Uuid","Accessibility","Offerings","Service_options","Planning","From_the_business","Amenities","Crowd"
"687","Schools in lucknow","Awadh Public School","Raibarelly Road Sharda Nagar  Rajni Khand  1  Lucknow  Uttar Pradesh 226002","Raibarelly Road Sharda Nagar","Lucknow","226002","Lucknow  Uttar Pradesh 226002","Uttar Pradesh","IN","Asia/Calcutta","अवध पब्लिक स्कूल","07275052743","072750 52743",,"info@awadhpublicschool.com | principal@awadhpublicschool.com | awadhpublicschool.lko@gmail.com | enquire.awadhpublicschool@gmail.com | principal.awadhpublicschool@gmail.com","http://www.awadhpublicschool.com/","awadhpublicschool.com","School"," ","Yes","121","3.6","open","Wednesday, 7:30 am-2:30 pm; Thursday, 7:30 am-2:30 pm; Friday, 7:30 am-2:30 pm; Saturday, 7:30 am-2:30 pm; Sunday, Closed; Monday, 7:30 am-2:30 pm; Tuesday, 7:30 am-2:30 pm; ","7:30 am-2:30 pm","Closed","7:30 am-2:30 pm","7:30 am-2:30 pm","7:30 am-2:30 pm","7:30 am-2:30 pm","7:30 am-2:30 pm","Lat 26.7790787","Lng 80.9320231","26.7790787,80.9320231","7MR2QWHJ+JRJ","ChIJWUkEfYX7mzkRrFND7nQpfRw"," ","https://www.google.com/maps/place/?q=place_id:ChIJWUkEfYX7mzkRrFND7nQpfRw","2052842587341149100","https://www.google.com/search?kgmid=/g/1pp2vfg15","/g/1pp2vfg15","https://lh5.googleusercontent.com/p/AF1QipMWRlMtdnuR1Nf6FMw9gdfhq7LWB20SVai1NDUV","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.awadhpublicschool.com/&size=48","https://search.google.com/local/reviews?placeid=ChIJWUkEfYX7mzkRrFND7nQpfRw&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN","https://www.facebook.com/awadhpublicschool/"," "," ",,"https://www.youtube.com/channel/UCl6hIAFxzrhHaKkwmKNCWSA",,,"0ahUKEwjhgMmK5NKOAxXyfGwGHcOFHcEQ8BcIXigI","Wheelchair-accessible car park | Wheelchair-accessible entrance","Affiliated with CBSE ","On-site services",,"Identifies as women-owned",,
"688","Schools in lucknow","Seth Anandram Jaipuria School","Sec-D  Pocket - 3  Ansal  Amar Shaheed Path  Golf City  Lucknow  Uttar Pradesh 226030","Sec-D  Pocket - 3  Ansal","Lucknow","226030","Amar Shaheed Path","Uttar Pradesh","IN","Asia/Calcutta","सेठ आनन्दराम जयपुरिया स्कूल","09721081098","097210 81098",,,"https://sajl.jaipuria.edu.in/","sajl.jaipuria.edu.in","CBSE School","School","Yes","0","0","open","Wednesday, 8 am-2 pm; Thursday, 8 am-2 pm; Friday, 8 am-2 pm; Saturday, 8 am-2 pm; Sunday, Closed; Monday, 8 am-2 pm; Tuesday, 8 am-2 pm; ","8 am-2 pm","Closed","8 am-2 pm","8 am-2 pm","8 am-2 pm","8 am-2 pm","8 am-2 pm","Lat 26.792225799999997","Lng 81.0112678","26.792225799999997,81.0112678","7MR3Q2R6+VGR","ChIJjXSSDXL7mzkRf0Y8zKBQCzw"," ","https://www.google.com/maps/place/?q=place_id:ChIJjXSSDXL7mzkRf0Y8zKBQCzw","4326640518570985087","https://www.google.com/search?kgmid=/g/11c1thh1fp","/g/11c1thh1fp","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgID6t477pgE","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://sajl.jaipuria.edu.in/&size=48"," "," "," "," "," "," "," "," ","0ahUKEwjhgMmK5NKOAxXyfGwGHcOFHcEQ8BcIiAEoCQ","Wheelchair-accessible car park | Wheelchair-accessible entrance","Affiliated with CBSE ",,,,,
"689","Schools in lucknow","Akhilesh Das Gupta School  Lucknow","BBD Green City  New  Ayodhya Rd  Gomti Nagar  Lucknow  Uattardhona  Uttar Pradesh 226028","BBD Green City","Lucknow, Uattardhona","226028","New  Ayodhya Rd","Uttar Pradesh","IN","Asia/Calcutta","अखिलेश दास गुप्ता स्कूल, लखनऊ","08400550682","084005 50682",,,"http://www.adgschool.com/","adgschool.com","School"," ","Yes","10","4.9","open","Wednesday, 9 am-5 pm; Thursday, 9 am-5 pm; Friday, 9 am-5 pm; Saturday, 9 am-5 pm; Sunday, 11 am-3 pm; Monday, 9 am-5 pm; Tuesday, 9 am-5 pm; ","9 am-5 pm","11 am-3 pm","9 am-5 pm","9 am-5 pm","9 am-5 pm","9 am-5 pm","9 am-5 pm","Lat 26.8820057","Lng 81.05745399999999","26.8820057,81.05745399999999","7MR3V3J4+RX4","ChIJJ8yNWDDjmzkRInwYkZPnJc0"," ","https://www.google.com/maps/place/?q=place_id:ChIJJ8yNWDDjmzkRInwYkZPnJc0","14782475972894030882","https://www.google.com/search?kgmid=/g/11x2grm16f","/g/11x2grm16f","https://lh5.googleusercontent.com/p/AF1QipM8G46x2F3YIUYuCCHZSB0RNJGs4xsLEhziY5_Q","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.adgschool.com/&size=48","https://search.google.com/local/reviews?placeid=ChIJJ8yNWDDjmzkRInwYkZPnJc0&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN"," "," "," "," "," "," "," ","0ahUKEwjhgMmK5NKOAxXyfGwGHcOFHcEQ8BcIrwEoCg","Wheelchair-accessible car park | Wheelchair-accessible entrance",,,,,,
"690","Schools in lucknow","Delhi Public School","Amar Shaheed Path  Opposite Ansal's  Golf City  Roberts Lines  Lucknow  Uttar Pradesh 226002","Amar Shaheed Path","Lucknow","226002","Opposite Ansal's","Uttar Pradesh","IN","Asia/Calcutta","दिल्ली पब्लिक स्कूल","08601444408","086014 44408","+918601444408","dpsshaheedpath@gmail.com","http://www.dpslko.com/","dpslko.com","CBSE School","International school","Yes","0","0","open","Wednesday, 9 am-4 pm; Thursday, 9 am-4 pm; Friday, 9 am-4 pm; Saturday, 9 am-3 pm; Sunday, Closed; Monday, 9 am-4 pm; Tuesday, 9 am-4 pm; ","9 am-3 pm","Closed","9 am-4 pm","9 am-4 pm","9 am-4 pm","9 am-4 pm","9 am-4 pm","Lat 26.7807376","Lng 80.9849098","26.7807376,80.9849098","7MR2QXJM+7XV","ChIJpcOqSaD7mzkRIPMpkWOCo8g"," ","https://www.google.com/maps/place/?q=place_id:ChIJpcOqSaD7mzkRIPMpkWOCo8g","14457542592938242848","https://www.google.com/search?kgmid=/g/1hm2r90bd","/g/1hm2r90bd","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgICq2NDHIg","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.dpslko.com/&size=48"," ","https://www.facebook.com/dpsshaheedpath?_rdr=p"," "," ","https://www.instagram.com/accounts/login/?next=/shaheedpathdps/","https://www.youtube.com/c/DPSShaheedpath",,,"0ahUKEwjhgMmK5NKOAxXyfGwGHcOFHcEQ8BcI2QEoCw","Wheelchair-accessible car park | Wheelchair-accessible entrance","Affiliated with CBSE ",,,,,
"691","Schools in lucknow","Children’s Academy","20 A  Sarva Palli  The Mall Avenue  Lucknow  Uttar Pradesh 226001","20 A","Lucknow","226001","Lucknow  Uttar Pradesh 226001","Uttar Pradesh","IN","Asia/Calcutta","चिल्ड्रन’एस अकादमी","05222239565","0522 223 9565","+919793799999",,"https://caschools.in/","caschools.in","School"," ","Yes","91","4.6","open","Wednesday, 8 am-2:30 pm; Thursday, 8 am-2:30 pm; Friday, 8 am-2:30 pm; Saturday, 8 am-1 pm; Sunday, 1-3 pm; Monday, 8 am-2:30 pm; Tuesday, 8 am-2:30 pm; ","8 am-1 pm","1-3 pm","8 am-2:30 pm","8 am-2:30 pm","8 am-2:30 pm","8 am-2:30 pm","8 am-2:30 pm","Lat 26.833771199999997","Lng 80.9471152","26.833771199999997,80.9471152","7MR2RWMW+GR5","ChIJG-PwQv78mzkRqh9tA-y0eLI"," ","https://www.google.com/maps/place/?q=place_id:ChIJG-PwQv78mzkRqh9tA-y0eLI","12860227661719216042","https://www.google.com/search?kgmid=/g/11cjj6sf_z","/g/11cjj6sf_z","https://lh5.googleusercontent.com/p/AF1QipNHqYkUXihSg7piux4huo9F3o_BS-l0arDRbcKB","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://caschools.in/&size=48","https://search.google.com/local/reviews?placeid=ChIJG-PwQv78mzkRqh9tA-y0eLI&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN","https://www.facebook.com/ChildrensAcademyCollege"," "," ","https://www.instagram.com/childrensacademylko","https://www.youtube.com/@childrensacademy9060","Discover Children's Academy College vibrant community and outstanding education. Explore programs, facilities, and opportunities for academic & personal growth.","School,Learning,Admissions, Admission Open in Lucknow,Schools in Lucknow","0ahUKEwjhgMmK5NKOAxXyfGwGHcOFHcEQ8BcIgAIoDA","Wheelchair-accessible car park | Wheelchair-accessible entrance","Affiliated with CBSE ",,,,,
"692","Schools in lucknow","Mimsid Kids School (Best Play school In Lucknow)","Manas Tiraha  Vimal Kunj-3  Picnic Spot Rd  Chandanapur  Lucknow  Uttar Pradesh 226015","Manas Tiraha","Lucknow","226015","Vimal Kunj-3","Uttar Pradesh","IN","Asia/Calcutta","मिम्सिद किड्स स्कूल","07460904455","074609 04455",,,"https://mimsidkids.com/","mimsidkids.com","Preschool"," ","Yes","27","5","open","Wednesday, 8:30 am-6 pm; Thursday, 8:30 am-6 pm; Friday, 8:30 am-6 pm; Saturday, 8:30 am-6 pm; Sunday, Closed; Monday, 8:30 am-6 pm; Tuesday, 8:30 am-6 pm; ","8:30 am-6 pm","Closed","8:30 am-6 pm","8:30 am-6 pm","8:30 am-6 pm","8:30 am-6 pm","8:30 am-6 pm","Lat 26.8941292","Lng 80.9934167","26.8941292,80.9934167","7MR2VXVV+M93","ChIJmcLcBN5ZmTkRXJkcuUthIsU"," ","https://www.google.com/maps/place/?q=place_id:ChIJmcLcBN5ZmTkRXJkcuUthIsU","14205023152536066396","https://www.google.com/search?kgmid=/g/11lzcrcx_n","/g/11lzcrcx_n","https://lh5.googleusercontent.com/p/AF1QipOLqQUp4LkR9RhMLI7kWwINRNhuSy2mZY6-7ar7","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://mimsidkids.com/&size=48","https://search.google.com/local/reviews?placeid=ChIJmcLcBN5ZmTkRXJkcuUthIsU&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN"," "," "," "," "," "," "," ","0ahUKEwjhgMmK5NKOAxXyfGwGHcOFHcEQ8BcIqAIoDQ",,,,,,,
"693","Schools in lucknow","Seth Anandram Jaipuria School  Alambagh Campus","Sarosa  link Road  near Shakuntala Mishra University  Kanpur  Lucknow  Uttar Pradesh 226009","Sarosa","Kanpur, Lucknow","226009","link Road","Uttar Pradesh","IN","Asia/Calcutta","सेठ आनंदराम जयपुरिया स्कूल, आलमबाग कैम्पस","07518020024","075180 20024",,,"http://jaipuriaalambagh.com/","jaipuriaalambagh.com","School"," ","Yes","111","4.3","open","Wednesday, 8 am-4 pm; Thursday, 8 am-4 pm; Friday, 8 am-4 pm; Saturday, 8 am-4 pm; Sunday, Closed; Monday, 8 am-4 pm; Tuesday, 8 am-4 pm; ","8 am-4 pm","Closed","8 am-4 pm","8 am-4 pm","8 am-4 pm","8 am-4 pm","8 am-4 pm","Lat 26.823862899999998","Lng 80.8439885","26.823862899999998,80.8439885","7MR2RRFV+GHX","ChIJv7QGBgb_mzkRbzv1OKhkyUw"," ","https://www.google.com/maps/place/?q=place_id:ChIJv7QGBgb_mzkRbzv1OKhkyUw","5533064290874243951","https://www.google.com/search?kgmid=/g/11c5_20jcv","/g/11c5_20jcv","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIDc5Z6KMA","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://jaipuriaalambagh.com/&size=48","https://search.google.com/local/reviews?placeid=ChIJv7QGBgb_mzkRbzv1OKhkyUw&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN"," "," "," ",,,"Seth Anandram Jaipuria School, Alambagh Campus (Lucknow) is committed to ‘Empower, Enthuse and Excel’ in providing quality education and ensuring that every child is taught the necessary values to guide him/her through the journey of life. We at Seth Anandram Jaipuria School endow education for LIFE! Our prime mission is to provide opportunities to learners in all aspects of education by adopting a dynamic curriculum and a supportive environment","Best School in Alambagh,top school in alambagh,best school in UP","0ahUKEwjhgMmK5NKOAxXyfGwGHcOFHcEQ8BcI0gIoDg","Wheelchair-accessible car park | Wheelchair-accessible entrance | Wheelchair-accessible seating | Wheelchair-accessible toilet | Assistive hearing loop","Affiliated with CBSE  | Affiliated with CISCE ","On-site services",,,,
"694","Schools in lucknow","Jeevan Dhara Convent School  Lucknow","WXFC+3MM  Kursi Hwy  near St. Mary Polyclinic  Bajrang Vihar Colony  Gaurabagh  Lucknow  Uttar Pradesh 226026","WXFC+3MM","Lucknow","226026","Kursi Hwy","Uttar Pradesh","IN","Asia/Calcutta","जीवन धारा कॉन्वेंट इंटर कॉलेज, लखनऊ","07376680933","073766 80933",,,"http://jeevandharaconventschoollko.org/","jeevandharaconventschoollko.org","School"," ","No","100","4.1","open"," ",,,,,,,,"Lat 26.9227121","Lng 80.97168239999999","26.9227121,80.97168239999999","7MR2WXFC+3MM","ChIJucdQzptXmTkRJnJ5G1-fKqY"," ","https://www.google.com/maps/place/?q=place_id:ChIJucdQzptXmTkRJnJ5G1-fKqY","11973557790149538342","https://www.google.com/search?kgmid=/m/0cp4852","/m/0cp4852","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgID84ej5uAE","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://jeevandharaconventschoollko.org/&size=48","https://search.google.com/local/reviews?placeid=ChIJucdQzptXmTkRJnJ5G1-fKqY&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN"," "," "," "," "," "," "," ","0ahUKEwjhgMmK5NKOAxXyfGwGHcOFHcEQ8BcI_AIoDw","Wheelchair-accessible car park | Wheelchair-accessible entrance","Affiliated with CBSE  | Affiliated with CISCE ",,,,,
"695","Schools in lucknow","KIDS FUN STATION SCHOOL - Best Play School In Lucknow | Best Preschool In Lucknow","Sarfarazganj  near Janta Doodh Dairy Rastoginagar  Balaganj  Lucknow  Uttar Pradesh 226003","Sarfarazganj","Lucknow","226003","near Janta Doodh Dairy Rastoginagar","Uttar Pradesh","IN","Asia/Calcutta","KIDS FUN स्टेशन स्कूल - बेस्ट प्ले विद्यालय इन लखनऊ | बेस्ट प्रीस्कूल इन लखनऊ","08840175688","088401 75688"," "," ",,,"Preschool","Playgroup","Yes","48","4.9","open","Wednesday, 9 am-3 pm; Thursday, 9 am-3 pm; Friday, 8 am-2 pm; Saturday, 9 am-3 pm; Sunday, Closed; Monday, 8 am-2 pm; Tuesday, 8 am-3 pm; ","9 am-3 pm","Closed","8 am-2 pm","8 am-3 pm","9 am-3 pm","9 am-3 pm","8 am-2 pm","Lat 26.874220299999998","Lng 80.8769317","26.874220299999998,80.8769317","7MR2VVFG+MQM","ChIJf5U-IHz_mzkRGpHNo-Hc_34"," ","https://www.google.com/maps/place/?q=place_id:ChIJf5U-IHz_mzkRGpHNo-Hc_34","9151275829514047770","https://www.google.com/search?kgmid=/g/11kbb2cr5b","/g/11kbb2cr5b","https://lh5.googleusercontent.com/p/AF1QipNb5w5E8ka1Xa4aE0FF55t_HVUROLY7dz9MlDpu"," ","https://search.google.com/local/reviews?placeid=ChIJf5U-IHz_mzkRGpHNo-Hc_34&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN"," "," "," "," "," "," "," ","0ahUKEwjhgMmK5NKOAxXyfGwGHcOFHcEQ8BcInQMoEA","Wheelchair-accessible seating | Wheelchair-accessible toilet","Affiliated with CBSE ","On-site services | Online classes",,,"Gender-neutral toilets","LGBTQ+ friendly"
"696","Schools in lucknow","City International School","CIS  Manas City  off Picnic Spot Road  Indira Nagar  Lucknow  Uttar Pradesh 226001","CIS","Lucknow","226001","Manas City","Uttar Pradesh","IN","Asia/Calcutta","सिटी इंटरनेशनल स्कूल","08010442277","080104 42277",,,"http://www.ciseducation.org/","ciseducation.org","CBSE School"," ","No","0","0","open","Wednesday, 8 am-4 pm; Thursday, 8 am-4 pm; Friday, 8 am-4 pm; Saturday, 8 am-4 pm; Sunday, Closed; Monday, 8 am-4 pm; Tuesday, 8 am-4 pm; ","8 am-4 pm","Closed","8 am-4 pm","8 am-4 pm","8 am-4 pm","8 am-4 pm","8 am-4 pm","Lat 26.9028083","Lng 81.00397129999999","26.9028083,81.00397129999999","7MR3W233+4HH","ChIJ_____-_imzkREVgoj1rg_oo"," ","https://www.google.com/maps/place/?q=place_id:ChIJ_____-_imzkREVgoj1rg_oo","10015689300872026129","https://www.google.com/search?kgmid=/g/1tdyd0s9","/g/1tdyd0s9","https://lh5.googleusercontent.com/p/AF1QipMnkQEgC8xJNBFztfyvZ0xi9-n4Gp4mm2kjrgAB","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.ciseducation.org/&size=48"," "," "," "," ",,"youtube.com",,,"0ahUKEwjhgMmK5NKOAxXyfGwGHcOFHcEQ8BcIyAMoEQ","Wheelchair-accessible car park | Wheelchair-accessible entrance","Affiliated with CBSE  | Affiliated with CISCE ",,,,,"LGBTQ+ friendly"
"697","Schools in lucknow","La Martiniere College Junior School Campus","RXP5+CCM  Sir George Schilling Rd  Martin Purva  Lucknow  Uttar Pradesh 226001","RXP5+CCM","Lucknow","226001","Sir George Schilling Rd","Uttar Pradesh","IN","Asia/Calcutta","ला मार्टिनियर कॉलेज जूनियर स्कूल कैम्पस","09454469226","094544 69226",,,"http://www.lamartinierelucknow.org/","lamartinierelucknow.org","School"," ","No","42","4.5","open","Wednesday, Open 24 hours; Thursday, Open 24 hours; Friday, Open 24 hours; Saturday, Open 24 hours; Sunday, Closed; Monday, Open 24 hours; Tuesday, Open 24 hours; ","Open 24 hours","Closed","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Lat 26.836076","Lng 80.95854969999999","26.836076,80.95854969999999","7MR2RXP5+CCM","ChIJa-VWC-L8mzkRVwylajb7GZ4"," ","https://www.google.com/maps/place/?q=place_id:ChIJa-VWC-L8mzkRVwylajb7GZ4","11392412943546387543","https://www.google.com/search?kgmid=/g/11bxfr6__w","/g/11bxfr6__w","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgICkw_bLQA","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.lamartinierelucknow.org/&size=48","https://search.google.com/local/reviews?placeid=ChIJa-VWC-L8mzkRVwylajb7GZ4&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN"," "," "," "," "," "," "," ","0ahUKEwjhgMmK5NKOAxXyfGwGHcOFHcEQ8BcI8gMoEg","Wheelchair-accessible car park | Wheelchair-accessible entrance","Affiliated with CISCE ",,,,,
"698","Schools in lucknow","SKD Academy | Best School in Lucknow CBSE Board | Top CBSE Schools in Lucknow","2D/HS  1  Raibareli Rd  Vrindavan Yojna-2  Sector 2  Vrindavan Colony  Lucknow  Uttar Pradesh 226025","2D/HS","Lucknow","226025","1  Raibareli Rd","Uttar Pradesh","IN","Asia/Calcutta","एसकेडी एकेडमी","07054123888","070541 23888",,,"https://skdacademia.org/skdvr/","skdacademia.org","CBSE School","College","Yes","0","0","open","Wednesday, 8 am-5 pm; Thursday, 8 am-5 pm; Friday, 8 am-5 pm; Saturday, 8 am-5 pm; Sunday, Closed; Monday, 8 am-5 pm; Tuesday, 8 am-5 pm; ","8 am-5 pm","Closed","8 am-5 pm","8 am-5 pm","8 am-5 pm","8 am-5 pm","8 am-5 pm","Lat 26.760796","Lng 80.950861","26.760796,80.950861","7MR2QX62+889","ChIJaer0Mgz7mzkR8_pIO-qodO0"," ","https://www.google.com/maps/place/?q=place_id:ChIJaer0Mgz7mzkR8_pIO-qodO0","17110486608257809139","https://www.google.com/search?kgmid=/g/124yqn7s3","/g/124yqn7s3","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgICkvZL0gwE","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://skdacademia.org/skdvr/&size=48"," "," "," "," "," "," "," "," ","0ahUKEwjhgMmK5NKOAxXyfGwGHcOFHcEQ8BcInQQoEw","Wheelchair-accessible car park | Wheelchair-accessible entrance","Affiliated with CBSE ",,,,,
"699","Schools in lucknow","Lucknow Public School","L-I/47  Ashiyana Rd  Sector G  LDA Colony  Lucknow  Uttar Pradesh 226012","L-I/47  Ashiyana Rd","Lucknow","226012","Lucknow  Uttar Pradesh 226012","Uttar Pradesh","IN","Asia/Calcutta","लखनऊ पब्लिक स्कूल","09415013812","094150 13812"," "," ",,,"CBSE School","School","Yes","0","0","open","Wednesday, Open 24 hours; Thursday, Open 24 hours; Friday, Open 24 hours; Saturday, Open 24 hours; Sunday, Open 24 hours; Monday, Open 24 hours; Tuesday, Open 24 hours; ","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Lat 26.791800199999997","Lng 80.89961509999999","26.791800199999997,80.89961509999999","7MR2QVRX+PRH","ChIJ7ZPM9gH8mzkR-BjC1GBoCvw"," ","https://www.google.com/maps/place/?q=place_id:ChIJ7ZPM9gH8mzkR-BjC1GBoCvw","18161443212420585720","https://www.google.com/search?kgmid=/g/1tdlfpw1","/g/1tdlfpw1","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIDhsrXnoQE"," "," "," "," "," "," "," "," "," ","0ahUKEwjhgMmK5NKOAxXyfGwGHcOFHcEQ8BcIxAQoFA","Wheelchair-accessible car park | Wheelchair-accessible entrance","Affiliated with CBSE ",,,,,
"700","Schools in lucknow","Jetvan Public School  Kalyanpur West  Atrauli  Kursi Road  Lucknow","Jetvan Vihar  Atrauli  Kursi Hwy  Kalyanpur (West)  Lucknow  Uttar Pradesh 226022","Jetvan Vihar  Atrauli","Lucknow","226022","Kursi Hwy","Uttar Pradesh","IN","Asia/Calcutta","जेतवन पब्लिक स्कूल, कल्याणपुर वेस्ट, अतरौली, कुर्सी रोड, लखनऊ","08853565995","088535 65995",,,"https://jpslucknow.in/","jpslucknow.in","School"," ","Yes","52","4.8","open","Wednesday, 8 am-2 pm; Thursday, 8 am-2 pm; Friday, 8 am-2 pm; Saturday, 8 am-2 pm; Sunday, 8 am-2 pm; Monday, 8 am-2 pm; Tuesday, 8 am-2 pm; ","8 am-2 pm","8 am-2 pm","8 am-2 pm","8 am-2 pm","8 am-2 pm","8 am-2 pm","8 am-2 pm","Lat 26.9211383","Lng 80.97984269999999","26.9211383,80.97984269999999","7MR2WXCH+FW4","ChIJQYKqFZBXmTkRxkN29VnHGYo"," ","https://www.google.com/maps/place/?q=place_id:ChIJQYKqFZBXmTkRxkN29VnHGYo","9951204040836006854","https://www.google.com/search?kgmid=/g/11ggr4m1ld","/g/11ggr4m1ld","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgICkmZuYyQE","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://jpslucknow.in/&size=48","https://search.google.com/local/reviews?placeid=ChIJQYKqFZBXmTkRxkN29VnHGYo&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN"," "," "," "," "," "," "," ","0ahUKEwjhgMmK5NKOAxXyfGwGHcOFHcEQ8BcI6AQoFQ","Wheelchair-accessible seating | Wheelchair-accessible toilet",,,,,"Gender-neutral toilets",
"701","Schools in lucknow","Lucknow Public School","Park  Jail Rd  opp. Anand Nagar  Anand Nagar  Alambagh  Lucknow  Uttar Pradesh 226005","Park","Lucknow","226005","Jail Rd","Uttar Pradesh","IN","Asia/Calcutta","लखनऊ पब्लिक स्कूल","08188041778","081880 41778","+9118001212155 | +917565800030","info@lpsc.co.in","https://www.lucknowpublicschoolsandcolleges.com/","lucknowpublicschoolsandcolleges.com","Private educational institution","School","Yes","0","0","open","Wednesday, 8 am-6 pm; Thursday, 8 am-6 pm; Friday, 8 am-6 pm; Saturday, 8 am-6 pm; Sunday, Closed; Monday, 8 am-6 pm; Tuesday, 8 am-6 pm; ","8 am-6 pm","Closed","8 am-6 pm","8 am-6 pm","8 am-6 pm","8 am-6 pm","8 am-6 pm","Lat 26.822364699999998","Lng 80.919596","26.822364699999998,80.919596","7MR2RWC9+WRX","ChIJD3KNMkj8mzkRbDWavvCwAWE"," ","https://www.google.com/maps/place/?q=place_id:ChIJD3KNMkj8mzkRbDWavvCwAWE","6990062644692137324","https://www.google.com/search?kgmid=/g/1vhq239l","/g/1vhq239l","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIDJ7_2_uwE","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://www.lucknowpublicschoolsandcolleges.com/&size=48"," ","https://www.facebook.com/LucknowPublicSchool.official","https://www.linkedin.com/school/lpslpcofficial/mycompany/","https://twitter.com/LucknowPublic","https://www.instagram.com/lucknowpublicschool.official/","https://www.youtube.com/playlist?list=PLvw9ClJGhbQVV6OMQJ6M-A2k8xf9elQAR"," Lucknow Public School has grown ever since and today it has eleven schools, today it is known as Lucknow Public Schools and Colleges.","best school in india, education, school education, school education of UP, school education in india, school education video, school latest news, School Awards, school toppers","0ahUKEwjhgMmK5NKOAxXyfGwGHcOFHcEQ8BcIkgUoFg",,"Affiliated with CBSE  | Affiliated with CISCE ",,,,,
